RMSE,Method,Phantom,Seed,Nt,Dd,bins
0.17790820552685774,L2DₓB,Single Channel,8000,500,30,20
0.15997628644412634,L0x₀B,Single Channel,8000,500,30,20
0.15997631025454287,L1x₀B,Single Channel,8000,500,30,20
0.15997617414324933,L2x₀B,Single Channel,8000,500,30,20
0.1280836616577793,L0x₀DₓB,Single Channel,8000,500,30,20
0.12287562576364476,L1x₀DₓB,Single Channel,8000,500,30,20
0.15270205843064913,L2x₀DₓB,Single Channel,8000,500,30,20
0.1729227321841427,L0B,Single Channel,9000,500,30,20
0.17035651155716725,L1B,Single Channel,9000,500,30,20
0.1693801846808534,L2B,Single Channel,9000,500,30,20
0.17292401502623242,L0DₓB,Single Channel,9000,500,30,20
0.17035772376902222,L1DₓB,Single Channel,9000,500,30,20
0.16938151572118065,L2DₓB,Single Channel,9000,500,30,20
0.18301966566566738,L0x₀B,Single Channel,9000,500,30,20
0.187103283398871,L1x₀B,Single Channel,9000,500,30,20
0.1874038291576557,L2x₀B,Single Channel,9000,500,30,20
0.18302091016359373,L0x₀DₓB,Single Channel,9000,500,30,20
0.18710516454213805,L1x₀DₓB,Single Channel,9000,500,30,20
0.18740557073782446,L2x₀DₓB,Single Channel,9000,500,30,20
0.1541357282686624,L0B,Single Channel,10000,500,30,20
0.15594031257514085,L1B,Single Channel,10000,500,30,20
0.1569998998768451,L2B,Single Channel,10000,500,30,20
0.05352567775706303,L0DₓB,Single Channel,10000,500,30,20
0.15296966287477184,L1DₓB,Single Channel,10000,500,30,20
0.15357158914096086,L2DₓB,Single Channel,10000,500,30,20
0.14445458270771913,L0x₀B,Single Channel,10000,500,30,20
0.1462789611478187,L1x₀B,Single Channel,10000,500,30,20
0.1472406644933181,L2x₀B,Single Channel,10000,500,30,20
0.14445596599174446,L0x₀DₓB,Single Channel,10000,500,30,20
0.1446798433609532,L1x₀DₓB,Single Channel,10000,500,30,20
0.14495926738919745,L2x₀DₓB,Single Channel,10000,500,30,20
0.14812897740718212,L0B,Single Channel,1000,500,30,30
0.1494198536368986,L1B,Single Channel,1000,500,30,30
0.14990503149756476,L2B,Single Channel,1000,500,30,30
0.14813067369261906,L0DₓB,Single Channel,1000,500,30,30
0.14942175829835194,L1DₓB,Single Channel,1000,500,30,30
0.1499067639422182,L2DₓB,Single Channel,1000,500,30,30
0.16523838307142005,L0x₀B,Single Channel,1000,500,30,30
0.1698282262661839,L1x₀B,Single Channel,1000,500,30,30
0.16982758947050297,L2x₀B,Single Channel,1000,500,30,30
0.16538121333174213,L0x₀DₓB,Single Channel,1000,500,30,30
0.17356692460242912,L1x₀DₓB,Single Channel,1000,500,30,30
0.17047412231260728,L2x₀DₓB,Single Channel,1000,500,30,30
0.14945352582258756,L0B,Single Channel,2000,500,30,30
0.1505720264512317,L1B,Single Channel,2000,500,30,30
0.15095490863624686,L2B,Single Channel,2000,500,30,30
0.14945521886193164,L0DₓB,Single Channel,2000,500,30,30
0.15057364200045165,L1DₓB,Single Channel,2000,500,30,30
0.15095634341401876,L2DₓB,Single Channel,2000,500,30,30
0.1667639655905928,L0x₀B,Single Channel,2000,500,30,30
0.1667639625079029,L1x₀B,Single Channel,2000,500,30,30
0.1667637290502875,L2x₀B,Single Channel,2000,500,30,30
0.14704040148074543,L0x₀DₓB,Single Channel,2000,500,30,30
